book_id;title;author;ara;year_published;num_pages;publisher;genre
9780740012;The Great Gatsby;F. Scott Fitzgerald;rus;1925;180;Scribner's Sons;Tragedy
9780060012;To Kill a Mockingbird;Harper Lee;por;1960;324;J. B. Lippincott & Co.;Fiction
97805900112;Harry Potter and the Philosopher's Stone;J.K. Rowling;jap;1997;223;Bloomsbury;Fantasy
9780441112;Harry Potter and the Chamber of Secrets;J.K. Rowling;fre;1998;251;Bloomsbury;Fantasy
9780445412;Harry Potter and the Prisoner of Azkaban;J.K. Rowling;chi;1999;317;Bloomsbury;Fantasy
9780448512;Harry Potter and the Goblet of Fire;J.K. Rowling;ban;2000;636;Bloomsbury;Fantasy
9780446312;Harry Potter and the Order of the Phoenix;J.K. Rowling;eng;2003;766;Bloomsbury;Fantasy
97803224512;The Casual Vacancy;J.K. Rowling;hin;2012;503;Little  Brown and Company;Fiction
9780321612;The Cuckoo's Calling;J.K. Rowling;ban;2013;455;Mulholland Books;Crime
97803274212;The Silkworm;J.K. Rowling;eng;2014;455;Mulholland Books;Crime
98032874312;Career of Evil;J.K. Rowling;eng;2015;453;Mulholland Books;Crime
97803210112;Lethal White;J.K. Rowling;eng;2018;624;Mulholland Books;Crime
9781563212;It Ends with Us;Colleen Hoover;ara;2016;384;Atria Books;Romance
9781489712;Hopeless;Colleen Hoover;rus;2012;368;Atria Books;New Adult
9781484212;Maybe Now;Colleen Hoover;por;2013;343;Atria Books;New Adult
9781480212;Losing Hope;Colleen Hoover;jap;2014;358;Atria Books;New Adult
9781481512;Ugly Love;Colleen Hoover;fre;2014;368;Atria Books;New Adult
976540606;"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation";W. Frederick Zimmerman;chi;2005;152;Nimble Books;New Adult
517226952;The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy, #1-5);Douglas Adams;ban;2005;815;Gramercy Books;New Adult
345453743;The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5);Douglas Adams;eng;2002;815;Del Rey Books;New Adult
517149257;The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy, #1-5);Douglas Adams;hin;1996;815;Wings Books;New Adult
767903820;A Short History of Nearly Everything;Bill Bryson;ban;2004;544;Broadway Books;Drama
767915062;Bill Bryson's African Diary;Bill Bryson;eng;2002;55;Broadway Books;Drama
767910435;Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right;Bill Bryson;ara;2004;256;Broadway Books;Drama
767903862;In a Sunburned Country;Bill Bryson;rus;2001;335;Broadway Books;Drama
767903820;I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away;Bill Bryson;por;2000;304;Broadway Books;Drama
60920084;The Lost Continent: Travels in Small Town America;Bill Bryson;jap;1990;299;William Morrow Paperbacks;Poetry
380713802;Neither Here nor There: Travels in Europe;Bill Bryson;fre;1993;254;William Morrow Paperbacks;Mystery
380727501;Notes from a Small Island;Bill Bryson;chi;1997;324;William Morrow Paperbacks;Horror
380715430;The Mother Tongue: English and How It Got That Way;Bill Bryson;ban;1991;270;William Morrow Paperbacks;Biography
345538374;J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings;J.R.R. Tolkien;eng;2012;1728;Ballantine Books;Romance
441294677;God Emperor of Dune (Dune Chronicles, #4);Frank Herbert;hin;1987;423;Ace Books;Poetry
976694000;Agile Web Development with Rails: A Pragmatic Guide;Dave Thomas;ban;2005;558;Pragmatic Bookshelf;Mystery
1932394745;Ruby Quickly: Ruby and Rails for the Real World;Mark   Watson;eng;2006;360;Manning Publications;Horror
689840926;Hatchet (Brian's Saga, #1);Gary Paulsen;ara;2000;208;Atheneum Books for Young Readers: Richard Jackson Books;Biography
141312629;The Changeling Sea;Patricia A. McKillip;rus;2003;137;Firebird;Romance
765348527;Shadows in the Starlight (Changeling Detective, #2);Elaine Cunningham;por;2007;288;Tor Books;Poetry
449146979;The Changeling (Daughters of England, #15);Philippa Carr;jap;1990;369;Ivy Books;Mystery
1581807740;Simply Beautiful Beaded Jewelry;Heidi Boyd;fre;2006;128;North Light Books;Horror
800793617;Always Enough: God's Miraculous Provision Among the Poorest Children on Earth;Heidi Baker;chi;2003;192;Chosen Books;Biography
843946687;Cinnamon and Roses (Rose Trilogy, #1);Heidi Betts;ban;2000;298;Leisure Books;Romance
761129588;What to Expect the First Year (What to Expect);Heidi Murkoff;eng;2003;832;Workman Publishing Company;Poetry
1581805632;Simply Beautiful Beading: 53 Quick and Easy Projects;Heidi Boyd;hin;2004;128;North Light Books;Mystery
441294677;God Emperor of Dune (Dune Chronicles, #4);Frank Herbert;ban;1987;423;Ace Books;Horror
441102670;Chapterhouse: Dune (Dune Chronicles #6);Frank Herbert;eng;1987;436;Ace Books;Biography
441172695;Dune Messiah (Dune Chronicles #2);Frank Herbert;ara;1987;331;Ace Books;Romance
765306476;Dreamer of Dune: The Biography of Frank Herbert;Brian Herbert;rus;2004;592;Tor Books;Poetry
743407300;The Secrets of Frank Herbert's Dune;James Van Hise;por;2000;160;iBooks;Mystery
399128980;Heretics of Dune (Dune Chronicles, #5);Frank Herbert;jap;1984;480;Putnam;Horror
765353709;The Road to Dune;Frank Herbert;fre;2006;426;Tor Science Fiction;Biography
441328008;Heretics of Dune (Dune Chronicles #5);Frank Herbert;chi;1987;471;Ace Books;Romance
618212906;The Lord of the Rings: The Art of the Fellowship of the Ring;Gary Russell;ban;2002;192;Houghton Mifflin Harcourt;Poetry
671797077;The Patriarch: The Rise and Fall of the Bingham Dynasty;Susan E. Tifft;eng;1993;576;Touchstone;Mystery
345410050;The Power of One (The Power of One, #1);Bryce Courtenay;hin;1996;544;Ballantine Books;Horror
618315560;The Power of One: Daisy Bates and the Little Rock Nine;Dennis Brindell Fradin;ban;2004;192;Clarion Books;Biography
883686287;The Power of One Christlike Life;Francis Frangipane;eng;2000;159;Whitaker House;Romance
785260056;The Power of One: One Person, One Rule, One Month;John C. Maxwell;ara;2004;256;Thomas Nelson;Tragedy
471780936;Power of an Hour: Business and Life Mastery in One Hour a Week;Dave Lakhani;rus;2006;205;Wiley;Poetry
325001537;The Power of One: The Solo Play for Playwrights, Actors, and Directors;Louis E. Catron;por;2000;240;Heinemann Drama;Mystery
60762870;How to Buy, Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days;Adam Ginsberg;jap;2005;336;William Morrow Paperbacks;Horror
470045299;eBay for Dummies;Marsha Collier;fre;2006;386;Wiley;Biography
72258691;eBay PowerSeller Secrets: Insider Tips from eBay's Most Successful Sellers;Debra Schepp;chi;2004;385;McGraw-Hill/Osborne;Romance
72262788;What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond;Chris Malta;ban;2006;260;McGraw-Hill;Poetry
764569244;Starting an eBay Business for Dummies;Marsha Collier;eng;2004;384;Wiley;Mystery
471933821;eBay: Top 100 Simplified Tips & Tricks;Julia Wilkinson;hin;2006;260;Wiley;Horror
764559915;ebay Timesaving Techniques for Dummies;Marsha Collier;ban;2004;391;Wiley;Biography
764584383;eBay Business All-in-One Desk Reference for Dummies;Marsha Collier;eng;2005;864;Wiley;Romance
596523696;Ruby Cookbook;Lucas Carlson;ara;2006;873;O'Reilly Media;Poetry
806523492;Ruby Ann's Down Home Trailer Park Cookbook;Ruby Ann Boxcar;rus;2005;240;Citadel;Mystery
806525363;Ruby Ann's Down Home Trailer Park BBQin' Cookbook;Ruby Ann Boxcar;por;2005;206;Citadel;Horror
809231530;Ruby's Low-Fat Soul Food Cookbook;Ruby Banks-Payne;jap;1996;175;McGraw-Hill/Contemporary Books;Biography
596527314;Rails Cookbook: Recipes for Rapid Web Development with Ruby;Rob Orsini;fre;2007;514;O'Reilly Media;Romance
1842152980;The Red Hot Cookbook: Create a Culinary Inferno with Flaming Good Recipes from Around the World;Ruby Le Bois;chi;2000;256;Anness Publishing/Southwater Publishing;Poetry
143035002;Anna Karenina;Leo Tolstoy;ban;2004;838;Penguin Classics;Mystery
822001837;CliffsNotes on Tolstoy's Anna Karenina;Marianne Sturman;eng;1965;80;Cliffs Notes;Horror
778322270;Dinner with Anna Karenina;Gloria Goldreich;hin;2006;360;Mira Books;Biography
521313252;Tolstoy: Anna Karenina;Anthony Thorlby;ban;1987;128;Cambridge University Press;Romance
140183957;Untouchable;Mulk Raj Anand;eng;1990;160;Penguin Books;Poetry
679767479;The Untouchable;John Banville;ara;1998;368;Vintage Books;Mystery
1568491980;The Untouchables;Eliot Ness;rus;1996;256;Buccaneer Books;Horror
743270797;Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India;Narendra Jadhav;por;2005;320;Scribner;Biography
932863051;Dalit: The Black Untaouchables of India;V.T. Rajshekar;jap;1995;100;Clarity Press;Romance
521553628;The Untouchables: Subordination, Poverty and the State in Modern India (Contemporary South Asia, #4);Oliver Mendelsohn;fre;1998;308;Cambridge University Press;Poetry
